Ano;Nº do Processo;Tramitação;Tipo de Contrato;Tipo de instrumento Macro;Objeto de Análise;Tipo de Serviços ou parcerias;Parceiro / Contratante;CNPJ;Unidade UFRJ;Sigla Unidade;Centro;Coordenador;Interveniente;Status;Nº Parecer;Parecer;Valor do Projeto;Data de Entrada AGI;Data de Saída AGI;Mês de Entrada;Dias;Data dif;Dias úteis;% DADOS CONCLUÍDO;x;Referências;Data Abertura do processo no SEI;Dias entrada até a AGI;Entrada na Procuradoria;Saída da Procuradoria;Dias PROC;Contrato assinado?;Desistiu da Tramitação do processwo;Data de assinatura do contrato;Dias até a assinatura;Vigência do proj (em meses);ANOTAÇÕES;Responsável;Código;Atividade Principal (CNAE);Ano de assinatura do contrato
2022;23079.026433/2019-03;1ª tramitação;Acordo de Parceria/ Convênio;Acordo de Parceria/ Convênio;Contrato;Treinamentos;Confederação Brasileira de Hoquei sobre a Grama e Indoor;;Escola de Educação Física e Desportos;EEFD;CCS;;Sem Interveniente;;39/2022;Favorável com recomendação;0;2022-03-25;2022-03-30;Mar;5.0;44646.0;3;0.75;0;Acordo de cooperação entre a Confederação Brasileira de Hoquei sobre a Grama e Indoor (CHBG) e a Universidade Federal do Rio de Janeiro (UFRJ);2019-07-16 00:00:00;983;44701;44797;96;Não;;;-43662.0;;;;;;
2022;23079.007721/2020-94;Retorno de Processo;Outros;Outros;Outros;Projeto de P&D;Petrogal Brasil S.A.;15.441.928/0001-89, 03.571.723/0001-39;Engenharia Mecânica;POLI;CT;Daniel Onofre de Almeida Cruz,;FUJB;Concluído;100/2022;Favorável com recomendação;6180316;2022-07-06;2022-07-08;Jul;2.0;44749.0;2;1.0;1;Simulador de escoamento estratificado (ESTER);2020-11-24 00:00:00;589;44165;44176;11;Sim;;44820;661.0;36;Acordo de Confidencialidade;;;;
2022;23079.007721/2020-94;Retorno de Processo;Outros;Outros;Outros;Projeto de P&D;Petrogal Brasil S.A.;15.441.928/0001-89, 03.571.723/0001-39;Departamento de Engenharia Mecânica;POLI;CT;Daniel Onofre de Almeida Cruz;FUJB;Em andamento;120/2022;Totalmente favorável;Sem valor;2022-08-04;2022-08-26;Ago;22.0;44778.0;16;1.0;1;Acordo de confidencialidade: Simulador de Escoamento Estratificado (ESTER);2020-11-24 00:00:00;618;44165;44176;11;Sim;;44669;510.0;36;;;;;
2022;23079.007721/2020-94;Retorno de Processo;Outros;Outros;Outros;Projeto de P&D;Petrogal Brasil S.A.;15.441.928/0001-89, 03.571.723/0001-39;Engenharia Mecânica;POLI;CT;Daniel Onofre de Almeida Cruz,;FUJB;Concluído;Informação;Outro;6180316;2022-09-19;2022-09-21;Set;2.0;44824.0;2;1.0;1;Simulador de escoamento estratificado (ESTER);2020-11-24 00:00:00;664;44162;44176;14;Sim;;44819;660.0;36;Acordo de Confidencialidade;;;;
2024;23079.007220/2020-16;1ª tramitação;Outros;Outros;Outros;Outros;DEPARTAMENTO NACIONAL DE INFRAESTRUTURA DE TRANSPORTES – DNIT;04.892.707/0001-00;CT: Decania do Centro de Tecnologia;CT/DEC;CT;Francisco Thiago Sacramento Aragão;Coppetec;Concluído;261/2024;Totalmente favorável;5791990.36;2024-12-16;2024-12-17;Dez;2.0;;2;1.0;Concluído;“1º TERMO ADITIVO DE AUMENTO DE VALOR, COM UTILIZAÇÃO DE RECURSOS DE APLICAÇÃO FINANCEIRA, PARA AJUSTES EM BOLSAS DE ESTUDOS E AQUISIÇÃO DE EQUIPAMENTO IMPORTADO PARA O TERMO DE EXECUÇÃO DESCENTRALIZADA Nº 680/2020.”;2020-12-03 00:00:00;1474;;;0;;;;-44168.0;60;;Ingrid;;;
2022;23079.224477/2020-22;Retorno de Processo;Prestação de Serviços;Prestação de Serviços;;Consultoria;Sec. Cidade Sustentável/Prefeitura Mun. de Maringá;29.131.075/0001-93;Faculdade de Administração e Ciências Contábeis;FACC;CCJE;Eliane Ribeiro Pereira;FUJB;Concluído;84/2022;Negado;9860000;2022-06-21;2022-06-29;Jun;8.0;44734.0;6;1.0;1;Apoio técnico científico para o desenvolvimento sustentável ambiental do município de Maricá;2020-12-15 00:00:00;553;-;-;-;Sim;;44557;377.0;33;Parecer sobre bolsa em prestação de serviços;;;;
2022;23079.006955/2013-14;1ª tramitação;Acordo de Parceria/ Convênio;Acordo de Parceria/ Convênio;Contrato;;Ministério do Trabalho e Previdência;;Instituto de Matemática;IM;CCMN;Milton Ramos Ramirez;Sem Interveniente;Concluído;11/2022;Totalmente favorável;-;2022-02-02;2022-02-03;Fev;1.0;44595.0;1;1.0;1;Cooperação entre Ministério do Trabalho e Previdência - MTP e a Universidade Federal do Rio de Janeiro – UFRJ;2020-12-15 00:00:00;414;44595;44607;12;Não;;-;;Indeterminado ;;;;;
2022;23079.203483/2021-27;Retorno de Processo;Prestação de Serviços;Prestação de Serviços;Outros;Estudos Técnicos;Câmara Municipal do Rio de Janeiro;30.467.039/0001-84;Instituto  de Pesquisa e Planejamento Urbano e Regional;IPPUR;CCJE;Renato Emerson dos Santos;FUJB;Concluído;169/2022;Parecer Orientativo;356875.77;2022-10-05;2022-10-15;Out;10.0;44840.0;6;1.0;1;Observatório dos conflitos urbanos na cidade do Rio de Janeiro;2021-02-10 00:00:00;602;-;-;-;Sim;;44407;170.0;12;;;;;
2022;23079.214554/2021-17;1ª tramitação;Prestação de Serviços;Prestação de Serviços;Contrato;Estudos Técnicos;Marinha do Brasil - Diretoria de Desenvolvimento Nuclear e Tecnológico;12.059.276/0001-24, 15.102.288/0001-82;"Programa de 
Engenharia Oceânica";COPPE;CT;Jean-David Job Emmanuel Marie Caprace;Coppetec;Concluído;129/2022;Totalmente favorável;1458126;2022-08-15;2022-08-17;Ago;2.0;44789.0;2;1.0;;Serviços técnicos especializados de perito, envolvendo estudo multidisciplinar de engenharia, mobilização de equipes, administração e outros;2021-05-19 00:00:00;;45003;45006;3;Sim;;2024-11-14 00:00:00;;6;;;;;2024.0
2023;23079.214554/2021-17;Retorno de Processo;Prestação de Serviços;Prestação de Serviços;Contrato;Estudos Técnicos;Marinha do Brasil - Diretoria de Desenvolvimento Nuclear e Tecnológico;12.059.276/0001-24;CT: Instituto Alberto Luiz Coimbra de Pós-Graduação e Pesquisa de Engenharia (Coppe);COPPE;CT;Segen Farid Estefen;Coppetec;Concluído;Folha Informação;Outro;1458126;2023-02-17;2023-02-21;Fev;4.0;;3;1.0;1;;2021-05-19 00:00:00;639;45003;45005;2;Sim;;2024-11-14 00:00:00;-44335.0;9;;;84.22-1-00;Defesa;2024.0
